code,description,marca,price_distributor,price_distributor_with_ipi,price_final,price_final_with_ipi,priceresale,priceresalewithipi
VA008BBI,CABO ELETROCARDIOGRAFO COM RABICHO BANANA IEC/AHA - GE MARQUETTE,,312.92,316.99,347.69,352.21,,
VA001DAI,CABO ELETROCARDIOGRAFO COM RABICHO DIN IEC - NIHON KOHDEN,,187.42,189.86,234.28,237.32,,
VA008CBI,CABO ELETROCARDIOGRAFO COM RABICHO GARRA AHA/IEC - GE MARQUETTE,,295.82,299.67,328.69,332.97,,
VA020CBI,CABO ELETROCARDIOGRAFO COM RABICHO GARRA IEC - MINDRAY,,318.24,322.38,318.24,322.38,,
VA001CNI,CABO ELETROCARDIOGRAFO COM RABICHO GARRA IEC - NIHON BIOCARE BIONET EDAN,,226.65,229.60,283.32,287.00,,
OEM-V0051A,CABO ELETROCARDIOGRAFO COM RABICHO LONGO GARRA IEC - MICROMED,,464.20,470.24,464.20,470.24,,
VA018CCI,CABO ELETROCARDIOGRAFO RABICHO GARRA IEC - PHILIPS,,348.57,353.10,387.30,392.33,,
EQ056-5AI,CABO MULTI-LINK ECG 5 VIAS SPO2 TEMP COMPATIVEL DRAGER,,903.63,915.37,903.63,915.37,,
EQ091-6AI,CABO MULTI-LINK ECG 6 PINOS 5 VIAS SPO2 TEMP COMPATIVEL DRAGER,,999.49,1012.48,999.49,1012.48,,
EE-096P5I,CABO RABICHO SERIE PARA ECG TRONCO 5 VIAS COMPATIVEL GE,,378.56,383.48,378.56,383.48,,
A41,CONECTOR PNI PLASTICO A41,,6.42,6.50,8.03,8.13,,
EJ040C3I,CONJUNTO DE RABICHOS ECG ADULTO 3 VIAS IEC GARRA COMPATIVEL MINDRAY,,180.93,183.28,180.93,183.28,,
OMAB0011,CONJUNTO DE RABICHOS ECG ADULTO 5 LEADS GARRA LL,,62.53,63.34,62.53,63.34,,
EQ040C5I,CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS AHA/IEC GARRA COMPATIVEL DRAGER,,250.73,253.99,278.59,282.21,,
EJ040C5I,CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS AHA/IEC GARRA COMPATIVEL MINDRAY DRAGER,,224.76,227.68,280.95,284.60,,
EN032C5I,CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS AHA/IEC GARRA COMPATIVEL NIHON KOHDEN,,212.51,215.28,212.51,215.28,,
OMAB0003,CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS GARRA DIN,,90.11,91.28,90.11,91.28,,
EE051C5I-GM,CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS IEC GARRA COMPATIVEL GE,,232.11,235.13,232.11,235.13,,
EQ040C6I,CONJUNTO DE RABICHOS ECG ADULTO 6 VIAS AHA/IEC GARRA COMPATIVEL DRAGER,,305.58,309.56,305.58,309.56,,
V0012M-I,ELETRODO ECG CARDIOCLIP MEDLINKET,,131.01,132.71,163.76,165.89,,
V0013C-A,ELETRODO ECG SUCÇÃO MEDLINKET,,152.69,154.67,190.86,193.34,,
OBM-SL0071A,ORGANIZADOR DE FIOS PARA CONJUNTO DE RABICHO PARA ECG,,20.63,22.64,20.63,22.64,,
391,PAPEL IMPRESSAO ECG 50MM X 22M,,11.52,11.52,14.40,14.40,,
227,PAPEL PARA ELETRO ECG-1206C MEDIKEE 110MM X 20MTS,,19.82,19.82,22.02,22.02,,
172,PAPEL TERMO SENSIVEL PARA ECG - BLOCO C/100 FLS- 216 X 280MM DIXTAL EP-3/12,,16.69,16.69,16.69,16.69,,
165,PAPEL TERMO SENSIVEL PARA ECG - ROLO - 216MM X 30M BIONET,,25.12,25.12,25.12,25.12,,
XJ43,PAPEL TERMOSSENSIVEL 80MM X 15 MTS PARA ELETROCARDIOGRAFO ECG-1203C - MEDIKEE ORIGINAL,,17.17,17.17,17.17,17.17,,
CGD-TG9045-23M,PAPEL TERMOSSENSIVEL ECG 100MM X 23M,,78.12,78.12,78.12,78.12,,
182,PAPEL TERMOSSENSIVEL ECG 80MM X 20MTS,,13.47,13.47,16.84,16.84,,
00184,PAPEL TERMOSSENSIVEL ELETRO ECG-1203C MEDIKEE 80MM X 15MTS,,12.90,12.90,16.12,16.12,,
00149,PAPEL TERMOSSENSIVEL ELETRO MAC 400/600 GE 80MM X 90M X 280 FLS,,31.97,31.97,31.97,31.97,,
148,PAPEL TERMOSSENSIVEL ELETRO MAC 800 GE 110MM X 140M X 400 FLS,,61.18,61.18,61.18,61.18,,
9903030901,SENSOR EEG ANESTESIA DESCARTAVEL ADT GE MEDLINKET,,118.03,119.56,118.03,119.56,,
ODM-DE0062D,ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL CMOS DRAKE AB,,196.00,198.55,280.00,283.64,,
ODM-DE0062C,ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL CMOS DRAKE PTO,,196.00,198.55,280.00,283.64,,
ODM-DE0062G,ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL INSTRAMED,,196.00,198.55,280.00,283.64,,
ODM-DE0062B,ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATIVEL MINDRAY,,196.00,198.55,280.00,283.64,,
ODM-DE0062H,ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL PHILIPS,,196.00,198.55,280.00,283.64,,
ECG90A,ELETROCARDIOGRAFO PORTATIL MODELO ECG90A,,2790.96,2827.25,3101.07,3141.39,,
ECG300G,ELETROCARDIOGRAFO TRES CANAIS MODELO ECG300G,,4488.34,4546.69,4987.05,5051.88,,
1RW01-0011,MALETA PARA TRANSPORTE / CAIXA EM POLIPROPILENO PARA RESSUSCITADOR CARDIO PULMONAR,,36.04,38.39,40.05,42.65,,
ME6141,MASCARA EM SILICONE # 0 NEONATAL/INFANTIL PARA RESSUSCITADOR CARDIO PULMONAR,,9.51,10.00,9.51,10.00,,
ME6143,MASCARA EM SILICONE # 2 PEDIATRICO PARA RESSUSCITADOR CARDIO PULMONAR,,15.94,16.77,15.94,16.77,,
ME6144,MASCARA EM SILICONE # 4 ADULTO PARA RESSUSCITADOR CARDIO PULMONAR,,15.94,16.77,15.94,16.77,,
ME6145,MASCARA EM SILICONE # 5 ADULTO GRANDE PARA RESSUSCITADOR CARDIO PULMONAR,,42.56,44.78,42.56,44.78,,
AM-802,OXIMETRO DE DEDO AM-802,,116.69,118.21,116.69,118.21,,
G1B,OXÍMETRO DE PULSO G1B - GMI,,1180.00,1195.34,1180.00,1195.34,,
IRT101,TERMOMETRO DIGITAL INFRAVERMELHO,,45.45,49.88,45.45,49.88,,
GB-04005,DISTRIBUIDOR TORNEIRA 03 VIAS LUER LOCK,,3.45,3.63,3.71,3.91,,
GB-04006,DISTRIBUIDOR TORNEIRA ALTO FLUXO,,5.31,5.58,5.71,6.00,,
GB-04008,DISTRIBUIDOR TORNEIRA ALTO FLUXO VALVULADA,,17.87,18.79,19.21,20.21,,
GB-08120V,EXTENSOR 08FR X 120CM - C/TORNEIRA VALVULADA,,23.88,25.13,25.68,27.02,,
GB-12020B,EXTENSOR 12FR X 020CM - C/ TORNEIRA BI-VALVULADA,,25.68,27.02,25.68,27.02,,
GB-12060B,EXTENSOR 12FR X 060CM - C/ TORNEIRA VALVULADA,,23.88,25.13,25.68,27.02,,
GB-12060T,EXTENSOR 12FR X 060CM - C/TORNEIRA,,10.62,11.17,11.41,12.01,,
GB-12120B,EXTENSOR 12FR X 120CM - C/ TORNEIRA BI-VALVULADA,,23.88,25.13,25.68,27.02,,
GB-12120T,EXTENSOR 12FR X 120CM - C/TORNEIRA,,10.62,11.17,11.41,12.01,,
GB-08120,EXTENSOR 08FR X 120CM,,9.29,9.77,9.99,10.51,,
GB-04138,EXTENSOR 08FR X 120CM - C/3 TORNEIRAS VALVULADAS E SUPORTE,,64.21,67.54,64.21,67.54,,
GB-04158,EXTENSOR 08FR X 120CM - C/5 TORNEIRAS VALVULADAS E SUPORTE,,81.83,86.08,87.99,92.56,,
GB-04028,EXTENSOR 12FR X 020CM - C/2 TORNEIRAS VALVULADAS,,39.95,42.03,39.95,42.03,,
GB-04038,EXTENSOR 12FR X 020CM - C/3 TORNEIRAS VALVULADAS,,54.69,57.54,54.69,57.54,,
CV-50610,EXTENSOR VALVULADO 06 FR X 1 VIA,,13.71,14.42,14.74,15.51,,
